Cruise_moc_net,Cruise,year,month,day,D_N,tow,net,ID,station,Latitude,Longitude,yrday_local,hhmm,flow,vol_filt,min_press,max_press,temp,sal,max depth,min depth,CTD used,avg. t,avg sal,avg fluor,max fluor,avg o2,avg PAR,DIC(umol/kg),TA_final(umolkg-1),Si_um/kg ,pH_corr(2),PO4_um/kg,NO2+NO3 (um/kg),uM NH4
OC473_m13_n9,OC473,2011,8,22,D,13,9,13.09,21,45.0019,-41.829,234.346076,818.349,4,30,0.5,2.1,21.903375,34.37975,0,0,2136,26.1694,36.2337,0.0617,0.0617,196.714,0.000000000001,2009.06533090838,2309.96227839106,1.57327435083166,8.03382211884258,0.11834026917824,0,0
OC473_m14_n0,OC473,2011,8,22,D,14,0,14,26,47.5121,-42.0298,235.358634,836.433,304,2354.3,11.2,1012.9,8.71515746421269,35.2220122699386,1000,0,2642,9.20649839518554,35.2723634904714,0.0742504513540621,0.0742504513540621,224.51653560682,4.7494268574069,2124.86668600632,2327.45249313521,6.39354475147395,7.84287682164064,0.447273669829267,9.91870832752552,0.027672343387471
OC473_m14_n1,OC473,2011,8,22,D,14,1,14.01,26,47.5372,-42.0224,235.404919,943.083,178,1024.1,801.7,997.5,4.83771631205674,34.9195567375886,1000,800,2642,4.81977860696518,34.9551323383085,0.0227328358208955,0.0227328358208955,247.555124378109,0.000000000001,2164.3811966691,2306.72342091828,11.4094396901387,7.71472615048776,0.963012294455821,16.5791371860286,0
OC473_m14_n2,OC473,2011,8,22,D,14,2,14.02,26,47.5441,-42.0191,235.418021,1001.95,216,1122.9,601.1,801.3,6.24540531561461,34.9417009966778,800,600,2642,6.14705024875622,34.9769194029851,0.0238686567164179,0.0238686567164179,206.952154228856,0.000000000001,2176.70590628616,2307.04008761481,12.6014230609997,7.69735350857484,0.984844891236764,18.0972915734443,0
OC473_m14_n3,OC473,2011,8,22,D,14,3,14.03,26,47.5512,-42.0154,235.432014,1022.1,240,1234.3,400.6,600.8,10.1813503184713,35.2683471337579,600,400,2642,9.83397960199005,35.2629353233831,0.0164482587064677,0.0164482587064677,205.080064676617,0.000000000001,2153.59801264376,2324.23909429901,9.00281362316882,7.78165691271552,0.665485944330575,14.3851675039846,0.147585831399845
OC473_m14_n4,OC473,2011,8,22,D,14,4,14.04,26,47.5583,-42.013,235.446597,1043.1,233,1138.4,201.1,399.8,12.078339100346,35.5765224913495,400,200,2642,12.0607577114428,35.6058024875622,0.00999452736318408,0.00999452736318408,233.838666666667,0.00672724793106972,2127.40038070878,2338.58114981188,5.5096527208636,7.86200618354438,0.344625263792056,9.27825073753924,0
OC473_m14_n5,OC473,2011,8,22,D,14,5,14.05,26,47.5652,-42.0091,235.460035,1102.45,143,674.7,102.2,199.7,12.4093107344633,35.6091129943503,200,100,2642,12.4356831683168,35.6516930693069,0.015850495049505,0.015850495049505,231.493594059406,0.627171287128713,2126.788490715,2340.1288650098,4.9640635379451,7.8623897968624,0.331129740820699,9.30838735731076,0
OC473_m14_n6,OC473,2011,8,22,D,14,6,14.06,26,47.5699,-42.0067,235.468252,1114.283,92,468.5,49.6,101.9,12.8610166666667,35.598225,100,50,2642,12.7779274509804,35.6282450980392,0.207590196078431,0.207590196078431,219.701333333333,6.00117647058824,2105.48785209905,2341.3506699485,3.66103634606897,7.90797020227452,0.194525073683181,6.01722907238922,0
OC473_m14_n7,OC473,2011,8,22,D,14,7,14.07,26,47.5727,-42.0051,235.473831,1122.317,67,361.5,26,49.2,14.9561546391753,35.4968041237113,50,25,2642,14.3437230769231,35.5888461538461,1.41161538461538,1.41161538461538,232.297538461538,34.8,2058.60887990671,2325.39556876596,1.84857069605155,7.98036795616356,0,0.641609979202421,0
OC473_m14_n8,OC473,2011,8,22,D,14,8,14.08,26,47.5753,-42.0031,235.478333,1128.8,87,540,0.1,26.3,16.7052244897959,35.0386394557823,25,0,2642,16.8834454545455,35.0134090909091,0.595009090909091,0.595009090909091,236.711363636364,161.304545454545,2040.28339132805,2309.38112928549,1.60590047976169,7.98620230141998,0,0,0
